,sent,source,output
0,"as we will see, this means that for some of our analyses, we can control for the exact position on the board and still have enough instances to observe meaningful variation.",cs_conf,"that means we can control the exact position of the board and still have enough instances in order to observe meaningful variations, as we will see below."
1,it ends up repeatedly relaxing the same attribute leading to completely relaxing an attribute.,cs_conf,that's going to be repeated for a constant relaxation of one attribute that will result in completely relaxing another.
2,so what are the practical implications of this?,cs_conf,"however, what are the practical consequences for the policy?however, what is the practical implications of this?however, what consequences do you have for your policy?however, what consequences are they likely to achieve?however,however,what"
3,the top of the right hill is the goal to which we want to guide the car.,cs_conf,the goal is to drive the car on a slope that is at the highest point.
4,"using the abstraction theorem, we can obtain the main result that typable terms are normalizing.",cs_conf,the main conclusion obtained by the abstraction theorem is that the normalization of typable terms is achieved using the abstraction theorem.
5,each agent sends out are you alive signals to adjacent nodes to gather the state of the adjacent node.,cs_conf,each agent will send out an isometric signal to the other nodes to calculate the status of the next nodes.
6,it is natural to ask the model checker to return all evolution traces that lead to inconsistency or instability.,cs_conf,"the model checker should return all trace of evolution, which could cause problems and instability."
7,our bounds are never worse than the old bounds.,cs_conf,never mind the old ones.
8,as long as we are observing we are automatically accepting all calls and thus will increase our loss if the source turns out to produce spit calls.,cs_conf,"if the source is found in spitting, it is automatically accepted and we can increase the loss."
9,"to conduct this study, we need to combine data from two different sources: twitter and weather underground.",cs_conf,data obtained on both sides of the internet need to be combined in order for this study to carry out.
10,"on the other hand, the authors showed an algorithm using a linear number of messages but requiring very large running time.",cs_conf,"on the contrary, they demonstrated that the linear number of messages required only a very long time to calculate the algorithm."
11,it can be difficult to find a perfect match for the whole career.,cs_conf,finding the perfect match for each career stage is difficult.
12,"extract inference rules, which are related to paraphrases, to improve question answering.",cs_conf,improvement in answering questions related to the extraction of inference rules.
13,we can extract a bit more by now applying a second extractor to the input.,cs_conf,"by using another extractor, we'll get an additional bit of information."
14,"while there are plenty of simple (and not so simple) network models, little is known as to which of them are really supported by data.",cs_conf,"while there are plenty of simple and non-simple networks, little is known about which models are actually working."
15,this could serve as a communication protocol for platforms that mix tools; and will be used to develop a set of benchmarks.,cs_conf,"a platform, which combines tools, can be a communication protocol, and is used to develop reference data."
16,"if the data were not sufficient, the models would overfit the data and this could lead to false conclusions.",cs_conf,"if the data were inadequate, models would be too large and they would result in false conclusions."
17,it does not scale to produce this many clusters.,cs_conf,this number does not grow with the help of such a large number of clusters.
18,"what follows, we select the best window size for each feature set and plot their roc curves all in fig.",cs_conf,we select the best size of the window in each element and plot their curves in Figure 1.
19,"as one can see, in the absence of pre-processing, the results degrade considerably.",cs_conf,"in the absence of pre-treatment, the results are significantly reduced."
20,"first, what is the potential savings with microgrids?",cs_conf,"first, what savings can be made in microgrids?first, what savings can be made in microgrids?first, how much can you save?what savings can be made in microgrids?first, what savings can be made in microgrids?"
