,original,paraphrase
0,"Intuitively, only the MJ hypothesis seems to be somewhat promising, as the others do not even consider whether the tweet is giving a positive or negative opinion about x.","more intriguingly, we only get the mj hypothesis, as the others ignore the influence of the tweet when x is being discussed."
1,predicting disease risks from highly imbalanced data using random forest.,training a random forest method for predicting disease risks from highly imbalanced data.
2,the output of the nn should be the cbcr components of the pictures.,output of the nn should be the cbcr components of the images.
3,"here, we will give a short summary of each of these in turn, before drawing a conclusion.","let us first give a short summary of each of these, in turn, before drawing our conclusion."
4,"to test the case, two different tests were made, one for the distance and one for the angle.","then, two different tests were performed, one for the length and one for the angle."
5,"during this project there were challenges that we could not solve, therefore in this section, we would like to point these out.","there have been challenges encountered during the project, and therefore we wish to point them out in this section."
6,the support vectors hence play a critical role in training the model.,"thus, in training a model, support vectors play a critical role."
7,the lsp could use this information to schedule the same number of trucks on the same routes for the coming period and hope for lower costs.,one way the lsp could use this information is to schedule the same number of trucks on the same routes for the coming period in hopes that the cost will be lower.
8,there are multiple reasons why a company or an organisation might outsource logistic operations to an lsp.,the decision to outsource logistic tasks to an lsp can be motivated by multiple factors.
9,"in order to check the structure of our data with shex, we need two components.",we need two components for checking the data structures with shex.
10,"for our project, we will aim to use the emotional annotations from the pmemo dataset for labeling the songs in our main dataset via transfer learning techniques.",we will use a transfer learning technique to use emotional annotations from the pmemo dataset as musical annotations for our primary dataset.
11,measuring engagement of a user is not a novelty and several studies have been going deeper into the topic.,it is not a novelty to measure user engagement and several study have gone deeper into the subject.
12,"one of the questions that arises with this is, how do we consider this into our recommendation system?",one question emerging from this is: how to incorporate this into our recommendation system?
13,for the second part of this lab the RGB images were mapped to the ycbcr space.,"for this lab, rgb images were mapped to the ycbcr space in the second stage of processing."
14,lime is utilised in this project to understand the impact of features on the predictions for a given outcome variable.,lime was used in this project to understand the influence of feature properties on the prediction of an outcome variable.
15,the function loads the dataset in batches and splits the dataset to train and test sets.,this module learns data from input data in batches and divides the dataset into a training and test datasets.
16,report on your results and reason about potential shortcomings of your network.,we report our results and reason about potential weaknesses in the network.
