,original,model_1,model_1 & model_2,model_2
0,"as we will see, this means that for some of our analyses, we can control for the exact position on the board and still have enough instances to observe meaningful variation.",this meant we could control the exact position on the board in some of our analyses and we could find enough examples in which to detect significant differences.,"this implies that for some of our analyses we can control the exact position of the graph, and we can find examples that can detect important differences.","this implies that we can control the exact location of the board in some of our analyses, while still having enough instances to observe meaningful variations."
1,it ends up repeatedly relaxing the same attribute leading to completely relaxing an attribute.,"so the same attribute is being repeatedly relaxed, resulting in complete relaxation.",the same attribute is then repeatedly relaxed yielding complete relaxation.,the same attribute is repeatedly relaxed thereby leading to fully relaxed attributes.
2,so what are the practical implications of this?,what are the practical implications of these developments?,what practical implications do these developments bring?,"thus, what are its practical implications?"
3,the top of the right hill is the goal to which we want to guide the car.,we want to take the car to the top of the right hill.,we want the car to climb the right hill.,the target where we plan to guide the car is atop the right slope.
4,"using the abstraction theorem, we can obtain the main result that typable terms are normalizing.",the main result is a normalization of typable terms by means of this abstraction theorem.,"the main result is the following abstraction theorem, in order to obtain a normalization of typing terms.",we can derive the main result that typable terms are normalized by using the abstraction theorem.
5,each agent sends out are you alive signals to adjacent nodes to gather the state of the adjacent node.,each agent shall broadcast an alert to the next node to monitor the adjacent nodes' status.,each agent broadcasts an alert to each adjacent node to monitor the state of the neighboring nodes.,every agent sends out there are you alive signals to adjacent nodes in order to collect their neighboring state.
6,it is natural to ask the model checker to return all evolution traces that lead to inconsistency or instability.,"if model verification leads to inconsistency or instability, it is natural to ask model control.",it is natural to ask if a model verification produces inconsistent or unstable results.,one natural approach is to ask the model checker to return all of the evolution trails whose execution leads to inconsistency or instability.
7,our bounds are never worse than the old bounds.,our limits are never greater than the old limits.,the upper bounds in our method are never larger than the old bounds.,one can always assume that our bound is better than the old bound.
8,as long as we are observing we are automatically accepting all calls and thus will increase our loss if the source turns out to produce spit calls.,"if a source of input is producing snatches, we will automatically accept all calls for as long as we observe and this will increase our loss.","when a source generates rtps, we may accept all calls for as long as we observe, and this will increase our loss.","when we observe the call, we will agree to all of the calls automatically, which will increase our loss if the source produces spit calls."
9,"to conduct this study, we need to combine data from two different sources: twitter and weather underground.",this study must be combined with two different sources: Weather Underground and Twitter.,this study requires combining data from two different sources: weather underground and twitter.,"we must combine datasets from two different sources: twitter and weather underground, which is not available for this study."
